locus_tag	ID	Name	Dbxref	gbkey	gene	description
CCNA_01475	gene1565	ompW	GeneID:7330209	Gene	ompW	OmpW family outer membrane cation channel;protein_id=YP_002516848.1;
CCNA_01476	gene1566	ftrB	GeneID:7330210	Gene	ftrB	CRP-family transcription regulator FtrB;protein_id=YP_002516849.1;
CCNA_01477	gene1567	hemN	GeneID:7330211	Gene	hemN	oxygen-independent coproporphyrinogen-III oxidase hemN;protein_id=YP_002516850.1;
CCNA_01478	gene1568	hemN	GeneID:7330212	Gene	hemN	CRP-family transcription regulator;protein_id=YP_002516851.1;
CCNA_01479	gene1569	CCNA_01479	GeneID:7333142	Gene	NA	NA
CCNA_01480	gene1570	CCNA_01480	GeneID:7333154	Gene	NA	hypothetical protein;protein_id=YP_002516853.1;
CCNA_01481	gene1571	CCNA_01481	GeneID:7333155	Gene	NA	cyclase homology domain protein;protein_id=YP_002516854.1;
CCNA_01483	gene1572	CCNA_01483	GeneID:7333157	Gene	NA	hypothetical protein;protein_id=YP_002516856.2;
CCNA_01484	gene1573	CCNA_01484	GeneID:7333158	Gene	NA	DNA Ligase IV adenylation domain protein;protein_id=YP_002516857.1;
CCNA_01485	gene1574	CCNA_01485	GeneID:7333159	Gene	NA	aldose 1-epimerase;protein_id=YP_002516858.1;
CCNA_01486	gene1575	CCNA_01486	GeneID:7333160	Gene	NA	fumarylacetoacetate (FAA) hydrolase family protein;protein_id=YP_002516859.1;
CCNA_01487	gene1576	CCNA_01487	GeneID:7333161	Gene	NA	NA
CCNA_01488	gene1577	ilvD	GeneID:7333162	Gene	ilvD	dihydroxyacid dehydratase;protein_id=YP_002516861.1;
CCNA_01489	gene1578	abfA	GeneID:7333163	Gene	abfA	alpha-L-arabinofuranosidase;protein_id=YP_002516862.2;
CCNA_01490	gene1579	CCNA_01490	GeneID:7333164	Gene	NA	FAD-dependent dehydrogenase;protein_id=YP_002516863.1;
CCNA_01491	gene1580	CCNA_01491	GeneID:7333165	Gene	NA	NA
CCNA_01492	gene1581	CCNA_01492	GeneID:7333166	Gene	NA	NA
CCNA_01493	gene1582	CCNA_01493	GeneID:7333167	Gene	NA	NA
CCNA_01494	gene1583	CCNA_01494	GeneID:7333168	Gene	NA	cyclopropane-fatty-acyl-phospholipid synthase;protein_id=YP_002516867.1;
CCNA_01495	gene1584	CCNA_01495	GeneID:7333169	Gene	NA	deoxyribodipyrimidine photolyase;protein_id=YP_002516868.1;
CCNA_01496	gene1585	CCNA_01496	GeneID:7333170	Gene	NA	NA
CCNA_01497	gene1586	CCNA_01497	GeneID:7333171	Gene	NA	NA
CCNA_01498	gene1588	CCNA_01498	GeneID:7333172	Gene	NA	NA
CCNA_01499	gene1589	CCNA_01499	GeneID:7333173	Gene	NA	NA
CCNA_01500	gene1590	CCNA_01500	GeneID:7333174	Gene	NA	hypothetical protein;protein_id=YP_002516873.1;
CCNA_01501	gene1591	CCNA_01501	GeneID:7333175	Gene	NA	protein kinase C-like superfamily protein;protein_id=YP_002516874.1;
CCNA_01502	gene1593	CCNA_01502	GeneID:7333177	Gene	NA	conserved membrane spanning protein;protein_id=YP_002516876.1;
CCNA_01503	gene1592	CCNA_01503	GeneID:7333176	Gene	NA	phosphotransferase family protein;protein_id=YP_002516875.1;
CCNA_01504	gene1594	recG	GeneID:7333178	Gene	recG	ATP-dependent DNA helicase recG;protein_id=YP_002516877.1;
CCNA_01505	gene1595	CCNA_01505	GeneID:7333179	Gene	NA	hypothetical protein;protein_id=YP_002516878.1;
CCNA_01506	gene1596	CCNA_01506	GeneID:7333180	Gene	NA	cystine transport ATP-binding protein;protein_id=YP_002516879.1;
CCNA_01507	gene1597	CCNA_01507	GeneID:7333181	Gene	NA	cystine transport system permease protein;protein_id=YP_002516880.1;
CCNA_01508	gene1598	CCNA_01508	GeneID:7333182	Gene	NA	cystine-binding protein;protein_id=YP_002516881.2;
CCNA_01509	gene1599	CCNA_01509	GeneID:7333183	Gene	NA	3-oxoacyl-(acyl-carrier-protein) synthase III;protein_id=YP_002516882.2;
CCNA_01510	gene1600	CCNA_01510	GeneID:7333184	Gene	NA	hypothetical protein;protein_id=YP_002516883.1;
CCNA_01511	gene1601	CCNA_01511	GeneID:7333185	Gene	NA	sterol desaturase family protein;protein_id=YP_002516884.1;
CCNA_01512	gene1602	CCNA_01512	GeneID:7333186	Gene	NA	IS200-like transposase;protein_id=YP_002516885.1;
CCNA_01513	gene1603	CCNA_01513	GeneID:7333187	Gene	NA	C4-dicarboxylate-binding protein;protein_id=YP_002516886.1;
CCNA_01514	gene1604	CCNA_01514	GeneID:7333188	Gene	NA	NA
CCNA_01515	gene1605	CCNA_01515	GeneID:7333189	Gene	NA	NA
CCNA_01516	gene1606	CCNA_01516	GeneID:7333190	Gene	NA	NAD(P)H:FMN oxidoreductase family protein;protein_id=YP_002516889.1;
CCNA_01517	gene1607	CCNA_01517	GeneID:7333191	Gene	NA	hypothetical protein;protein_id=YP_002516890.1;
CCNA_01519	gene1609	CCNA_01519	GeneID:7333193	Gene	NA	universal stress protein family;protein_id=YP_002516892.2;
CCNA_01520	gene1610	CCNA_01520	GeneID:7333194	Gene	NA	hypothetical protein;protein_id=YP_002516893.1;
CCNA_01521	gene1611	CCNA_01521	GeneID:7333195	Gene	NA	hypothetical protein;protein_id=YP_002516894.1;
CCNA_01522	gene1612	CCNA_01522	GeneID:7333196	Gene	NA	ATP-dependent protease subunit;protein_id=YP_002516895.1;
CCNA_01523	gene1613	flmH	GeneID:7333197	Gene	flmH	acetyltransferase flmH;protein_id=YP_002516896.2;
CCNA_01524	gene1614	flbA	GeneID:7333198	Gene	flbA	FlbA protein;protein_id=YP_002516897.1;
CCNA_01525	gene1615	flbT	GeneID:7333199	Gene	flbT	flagellar biosynthesis repressor flbT;protein_id=YP_002516898.1;
CCNA_01526	gene1616	flaF	GeneID:7333200	Gene	flaF	flagellar biosynthesis regulatory protein flaF;protein_id=YP_002516899.1;
CCNA_01527	gene1617	fljL	GeneID:7333201	Gene	fljL	flagellin fljL;protein_id=YP_002516900.1;
CCNA_01528	gene1618	fljK	GeneID:7333202	Gene	fljK	flagellin fljK;protein_id=YP_002516901.1;
CCNA_01529	gene1619	CCNA_01529	GeneID:7333203	Gene	NA	FlaG superfamily protein;protein_id=YP_002516902.1;
CCNA_01530	gene1620	fljJ	GeneID:7333204	Gene	fljJ	flagellin FljJ;protein_id=YP_002516903.1;
CCNA_01531	gene1621	CCNA_01531	GeneID:7333205	Gene	NA	NA
CCNA_01532	gene1622	flaY	GeneID:7333206	Gene	flaY	regulatory protein flaY;protein_id=YP_002516905.1;
CCNA_01533	gene1623	CCNA_01533	GeneID:7333207	Gene	NA	hypothetical protein;protein_id=YP_002516906.1;
CCNA_01534	gene1624	CCNA_01534	GeneID:7333208	Gene	NA	hypothetical protein;protein_id=YP_002516907.1;
CCNA_01535	gene1625	CCNA_01535	GeneID:7333209	Gene	NA	single-strand DNA binding protein;protein_id=YP_002516908.1;
CCNA_01536	gene1626	CCNA_01536	GeneID:7333210	Gene	NA	NA
CCNA_01537	gene1628	CCNA_01537	GeneID:7333212	Gene	NA	NA
CCNA_01538	gene1629	CCNA_01538	GeneID:7333213	Gene	NA	pyruvate phosphate dikinase;protein_id=YP_002516911.1;
CCNA_01539	gene1631	CCNA_01539	GeneID:7333214	Gene	NA	pirin family protein;protein_id=YP_002516912.1;
CCNA_01541	gene1632	CCNA_01541	GeneID:7333216	Gene	NA	NA
CCNA_01542	gene1633	CCNA_01542	GeneID:7333217	Gene	NA	ice nucleation protein;protein_id=YP_002516915.1;
CCNA_01543	gene1634	CCNA_01543	GeneID:7333218	Gene	NA	NA
CCNA_01545	gene1635	CCNA_01545	GeneID:7333220	Gene	NA	NAD(FAD)-utilizing dehydrogenase;protein_id=YP_002516918.1;
CCNA_01546	gene1636	CCNA_01546	GeneID:7333221	Gene	NA	NA
CCNA_01547	gene1638	CCNA_01547	GeneID:7333222	Gene	NA	methionyl-tRNA synthetase;protein_id=YP_002516920.1;
CCNA_01548	gene1639	CCNA_01548	GeneID:7333223	Gene	NA	transporter%2C major facilitator superfamily;protein_id=YP_002516921.1;
CCNA_01549	gene1640	CCNA_01549	GeneID:7333224	Gene	NA	sulfate adenylyltransferase subunit 1/adenylylsulfate kinase;protein_id=YP_002516922.1;
CCNA_01550	gene1641	CCNA_01550	GeneID:7333225	Gene	NA	sulfate adenylyltransferase subunit 2;protein_id=YP_002516923.1;
CCNA_01551	gene1642	CCNA_01551	GeneID:7333226	Gene	NA	hypothetical protein;protein_id=YP_002516924.1;
CCNA_01552	gene1643	tipN	GeneID:7333227	Gene	tipN	polar localization protein TipN;protein_id=YP_002516925.1;
CCNA_01553	gene1644	CCNA_01553	GeneID:7333228	Gene	NA	undecaprenyl-phosphate beta-N-acetyl-D-fucosaminephosphotransferase;protein_id=YP_002516926.1;
CCNA_01554	gene1645	CCNA_01554	GeneID:7333229	Gene	NA	D-mannonate oxidoreductase;protein_id=YP_002516927.1;
CCNA_01555	gene1646	uxaA	GeneID:7333230	Gene	uxaA	altronate dehydratase;protein_id=YP_002516928.1;
CCNA_01556	gene1647	CCNA_01556	GeneID:7333231	Gene	NA	NA
CCNA_01557	gene1648	CCNA_01557	GeneID:7333232	Gene	NA	uronate isomerase;protein_id=YP_002516930.1;
CCNA_01558	gene1649	CCNA_01558	GeneID:7333233	Gene	NA	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase;protein_id=YP_002516931.1;
CCNA_01559	gene1650	CCNA_01559	GeneID:7333234	Gene	NA	2-deoxy-D-gluconate 3-dehydrogenase;protein_id=YP_002516932.1;
CCNA_01560	gene1651	CCNA_01560	GeneID:7333316	Gene	NA	NA
CCNA_01561	gene1652	CCNA_01561	GeneID:7331539	Gene	NA	hypothetical protein;protein_id=YP_002516934.1;
CCNA_01562	gene1653	CCNA_01562	GeneID:7331540	Gene	NA	4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxyphosphogluconate aldolase;protein_id=YP_002516935.1;
CCNA_01563	gene1654	CCNA_01563	GeneID:7331541	Gene	NA	2-dehydro-3-deoxygluconokinase;protein_id=YP_002516936.1;
CCNA_01566	gene1656	CCNA_01566	GeneID:7331544	Gene	NA	hypothetical protein;protein_id=YP_002516939.1;
CCNA_01567	gene1657	CCNA_01567	GeneID:7331545	Gene	NA	proline iminopeptidase;protein_id=YP_002516940.1;
CCNA_01568	gene1658	CCNA_01568	GeneID:7331546	Gene	NA	Kef-type K+ transport system;protein_id=YP_002516941.2;
CCNA_01569	gene1659	CCNA_01569	GeneID:7331547	Gene	NA	NA
CCNA_01570	gene1660	CCNA_01570	GeneID:7331548	Gene	NA	NA
CCNA_01571	gene1661	CCNA_01571	GeneID:7331549	Gene	NA	arsenate reductase;protein_id=YP_002516944.1;
CCNA_01572	gene1662	CCNA_01572	GeneID:7331550	Gene	NA	NA
CCNA_01573	gene1663	CCNA_01573	GeneID:7331551	Gene	NA	ArsR-family transcriptional regulator;protein_id=YP_002516946.1;
CCNA_01574	gene1664	CCNA_01574	GeneID:7331552	Gene	NA	arsenic resistance protein arsH;protein_id=YP_002516947.1;
CCNA_01575	gene1665	CCNA_01575	GeneID:7331553	Gene	NA	glucose / sorbosone dehydrogenase;protein_id=YP_002516948.1;
CCNA_01576	gene1666	CCNA_01576	GeneID:7331554	Gene	NA	major facilitator superfamily transporter;protein_id=YP_002516949.1;
CCNA_01577	gene1667	CCNA_01577	GeneID:7331555	Gene	NA	2-keto-4-pentenoate hydratase family protein;protein_id=YP_002516950.1;
CCNA_01578	gene1668	CCNA_01578	GeneID:7331556	Gene	NA	beta-lactamase repressor;protein_id=YP_002516951.1;
CCNA_01579	gene1669	CCNA_01579	GeneID:7331557	Gene	NA	NA
CCNA_01580	gene1670	CCNA_01580	GeneID:7331558	Gene	NA	NA
CCNA_01581	gene1671	CCNA_01581	GeneID:7331559	Gene	NA	NA
CCNA_01582	gene1672	CCNA_01582	GeneID:7331560	Gene	NA	Glutathione-dependent formaldehyde-activating enzyme;protein_id=YP_002516955.1;
CCNA_01583	gene1673	CCNA_01583	GeneID:7331561	Gene	NA	NA
CCNA_01584	gene1675	CCNA_01584	GeneID:7331562	Gene	NA	NA
CCNA_01585	gene1677	CCNA_01585	GeneID:7331563	Gene	NA	TonB-dependent receptor;protein_id=YP_002516958.1;
CCNA_01586	gene1678	CCNA_01586	GeneID:7331564	Gene	NA	ABC transporter%2C ATP-binding protein;protein_id=YP_002516959.1;
CCNA_01587	gene1679	CCNA_01587	GeneID:7331565	Gene	NA	hypothetical protein;protein_id=YP_002516960.1;
CCNA_01588	gene1680	CCNA_01588	GeneID:7331566	Gene	NA	hypothetical protein;protein_id=YP_002516961.1;
CCNA_01589	gene1681	CCNA_01589	GeneID:7331567	Gene	NA	acyltransferase 3;protein_id=YP_002516962.1;
CCNA_01590	gene1682	ligA	GeneID:7331568	Gene	ligA	NAD-dependent DNA ligase;protein_id=YP_002516963.1;
CCNA_01591	gene1683	ligA	GeneID:7331569	Gene	ligA	DNA polymerase III epsilon-like protein;protein_id=YP_002516964.1;
CCNA_01592	gene1684	CCNA_01592	GeneID:7331570	Gene	NA	SN-glycerol-3-phosphate transport ATP-binding protein;protein_id=YP_002516965.1;
CCNA_01593	gene1685	CCNA_01593	GeneID:7331571	Gene	NA	Xaa-pro aminopeptidase;protein_id=YP_002516966.1;
CCNA_01594	gene1687	CCNA_01594	GeneID:7331572	Gene	NA	ribosomal protein L11 methyltransferase;protein_id=YP_002516967.1;
CCNA_01595	gene1688	CCNA_01595	GeneID:7331573	Gene	NA	hypothetical protein;protein_id=YP_002516968.1;
CCNA_01596	gene1689	uvrD	GeneID:7331574	Gene	uvrD	DNA helicase II;protein_id=YP_002516969.2;
CCNA_01597	gene1690	CCNA_01597	GeneID:7331575	Gene	NA	NA
CCNA_01598	gene1691	CCNA_01598	GeneID:7331576	Gene	NA	NA
CCNA_01599	gene1692	CCNA_01599	GeneID:7331577	Gene	NA	hypothetical protein;protein_id=YP_002516972.1;
CCNA_01600	gene1693	CCNA_01600	GeneID:7331578	Gene	NA	NA
CCNA_01601	gene1694	CCNA_01601	GeneID:7331579	Gene	NA	hypothetical protein;protein_id=YP_002516974.1;
CCNA_01602	gene1695	CCNA_01602	GeneID:7331580	Gene	NA	NA
CCNA_01603	gene1696	CCNA_01603	GeneID:7331581	Gene	NA	aspartate aminotransferase;protein_id=YP_002516976.1;
CCNA_01604	gene1697	CCNA_01604	GeneID:7331582	Gene	NA	NA
CCNA_01605	gene1698	CCNA_01605	GeneID:7331583	Gene	NA	NA
CCNA_01606	gene1699	CCNA_01606	GeneID:7331584	Gene	NA	Soj/ParA-related ATPase protein;protein_id=YP_002516979.1;
CCNA_01607	gene1700	CCNA_01607	GeneID:7331585	Gene	NA	SNARE associated protein family;protein_id=YP_002516980.1;
CCNA_01608	gene1701	CCNA_01608	GeneID:7331586	Gene	NA	NA
CCNA_01609	gene1702	CCNA_01609	GeneID:7331587	Gene	NA	alkyl sulfatase;protein_id=YP_002516982.1;
CCNA_01610	gene1704	CCNA_01610	GeneID:7331588	Gene	NA	2-isopropylmalate synthase;protein_id=YP_002516983.1;
CCNA_01611	gene1705	CCNA_01611	GeneID:7331589	Gene	NA	transporter%2C drug/metabolite exporter family;protein_id=YP_002516984.1;
CCNA_01612	gene1706	mreB	GeneID:7331590	Gene	mreB	rod shape-determining protein MreB;protein_id=YP_002516985.1;
CCNA_01613	gene1707	mreC	GeneID:7331591	Gene	mreC	NA
CCNA_01614	gene1708	mreC	GeneID:7331592	Gene	mreC	NA
CCNA_01615	gene1709	CCNA_01615	GeneID:7331593	Gene	NA	NA
CCNA_01616	gene1710	rodA	GeneID:7331594	Gene	rodA	rod shape-determining protein RodA;protein_id=YP_002516989.1;
CCNA_01617	gene1711	rodA	GeneID:7331595	Gene	rodA	acetyltransferase;protein_id=YP_002516990.1;
CCNA_01618	gene1712	CCNA_01618	GeneID:7331596	Gene	NA	NA
CCNA_01619	gene1713	CCNA_01619	GeneID:7331597	Gene	NA	NA
CCNA_01620	gene1714	CCNA_01620	GeneID:7331598	Gene	NA	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase;protein_id=YP_002516993.1;
CCNA_01621	gene1715	CCNA_01621	GeneID:7331599	Gene	NA	NA
CCNA_01622	gene1716	spoT	GeneID:7331600	Gene	spoT	NA
CCNA_01623	gene1717	CCNA_01623	GeneID:7331601	Gene	NA	phosphohydrolase%2C MutT/nudix family;protein_id=YP_002516996.1;
CCNA_01624	gene1718	CCNA_01624	GeneID:7331602	Gene	NA	NA
CCNA_01625	gene1719	CCNA_01625	GeneID:7331603	Gene	NA	aminobenzoyl-glutamate utilization protein B;protein_id=YP_002516998.1;
CCNA_01626	gene1720	CCNA_01626	GeneID:7331604	Gene	NA	pyridoxal phosphate biosynthetic protein pdxJ;protein_id=YP_002516999.1;
CCNA_01627	gene1721	acpS	GeneID:7331605	Gene	acpS	NA
CCNA_01628	gene1722	CCNA_01628	GeneID:7331606	Gene	NA	hypothetical protein;protein_id=YP_002517001.1;
CCNA_01629	gene1723	CCNA_01629	GeneID:7331607	Gene	NA	NA
CCNA_01630	gene1724	CCNA_01630	GeneID:7331608	Gene	NA	ribonuclease III;protein_id=YP_002517003.1;
CCNA_01632	gene1725	CCNA_01632	GeneID:7331610	Gene	NA	hypothetical protein;protein_id=YP_002517005.1;
CCNA_01633	gene1726	era	GeneID:7331611	Gene	era	GTP-binding protein era;protein_id=YP_002517006.1;
CCNA_01634	gene1727	era	GeneID:7331612	Gene	era	arylamine N-acetyltransferase;protein_id=YP_002517007.1;
CCNA_01635	gene1728	CCNA_01635	GeneID:7331613	Gene	NA	NA
CCNA_01636	gene1729	CCNA_01636	GeneID:7331614	Gene	NA	NA
CCNA_01637	gene1730	CCNA_01637	GeneID:7331615	Gene	NA	topoisomerase IV subunit A;protein_id=YP_002517010.1;
CCNA_01638	gene1731	CCNA_01638	GeneID:7331616	Gene	NA	beta-lactamase family protein;protein_id=YP_002517011.1;
CCNA_01639	gene1732	CCNA_01639	GeneID:7331617	Gene	NA	NA
CCNA_01640	gene1733	CCNA_01640	GeneID:7331618	Gene	NA	quinone oxidoreductase;protein_id=YP_002517013.1;
CCNA_01641	gene1734	CCNA_01641	GeneID:7331619	Gene	NA	2-nitropropane dioxygenase family protein;protein_id=YP_002517014.1;
CCNA_01642	gene1735	CCNA_01642	GeneID:7331701	Gene	NA	NA
CCNA_01643	gene1736	CCNA_01643	GeneID:7331702	Gene	NA	arginine-tRNA-protein transferase;protein_id=YP_002517016.1;
CCNA_01644	gene1737	CCNA_01644	GeneID:7331703	Gene	NA	chemotaxis motB protein;protein_id=YP_002517017.1;
CCNA_01645	gene1738	CCNA_01645	GeneID:7331704	Gene	NA	3-hydroxyisobutyrate dehydrogenase;protein_id=YP_002517018.1;
CCNA_01646	gene1739	CCNA_01646	GeneID:7331705	Gene	NA	NA
CCNA_01647	gene1740	CCNA_01647	GeneID:7331706	Gene	NA	8-amino-7-oxononanoate synthase;protein_id=YP_002517020.1;
CCNA_01648	gene1741	CCNA_01648	GeneID:7331707	Gene	NA	NA
CCNA_01649	gene1742	CCNA_01649	GeneID:7331708	Gene	NA	NA
CCNA_01650	gene1743	CCNA_01650	GeneID:7331709	Gene	NA	NA
CCNA_01651	gene1744	CCNA_01651	GeneID:7331710	Gene	NA	NA
CCNA_01652	gene1745	CCNA_01652	GeneID:7331711	Gene	NA	phosphopantetheine adenylyltransferase;protein_id=YP_002517025.1;
CCNA_01653	gene1746	CCNA_01653	GeneID:7331712	Gene	NA	NA
CCNA_01654	gene1747	CCNA_01654	GeneID:7331713	Gene	NA	NA
CCNA_01655	gene1748	CCNA_01655	GeneID:7331714	Gene	NA	cyclophilin-type peptidylprolyl cis-trans isomerase;protein_id=YP_002517028.1;
CCNA_01656	gene1749	CCNA_01656	GeneID:7331715	Gene	NA	endonuclease/exonuclease/phosphatase family protein;protein_id=YP_002517029.1;
CCNA_01657	gene1750	CCNA_01657	GeneID:7331716	Gene	NA	hypothetical protein;protein_id=YP_002517030.1;
CCNA_01658	gene1751	CCNA_01658	GeneID:7331717	Gene	NA	NA
CCNA_01659	gene1752	CCNA_01659	GeneID:7331718	Gene	NA	NA
CCNA_01660	gene1753	CCNA_01660	GeneID:7331719	Gene	NA	NA
CCNA_01663	gene1755	CCNA_01663	GeneID:7331723	Gene	NA	potassium-transporting ATPase A chain;protein_id=YP_002517036.1;
CCNA_01664	gene1756	CCNA_01664	GeneID:7331724	Gene	NA	potassium-transporting ATPase B chain;protein_id=YP_002517037.1;
CCNA_01665	gene1757	CCNA_01665	GeneID:7331725	Gene	NA	potassium-transporting ATPase C chain;protein_id=YP_002517038.1;
CCNA_01666	gene1758	kdpD	GeneID:7331726	Gene	kdpD	NA
CCNA_01667	gene1759	kdpE	GeneID:7331727	Gene	kdpE	NA
CCNA_01668	gene1760	CCNA_01668	GeneID:7331728	Gene	NA	NA
CCNA_01669	gene1761	CCNA_01669	GeneID:7331729	Gene	NA	NA
CCNA_01670	gene1762	CCNA_01670	GeneID:7331730	Gene	NA	NA
CCNA_01671	gene1763	dgrA	GeneID:7331731	Gene	dgrA	diguanylate receptor protein dgrA;protein_id=YP_002517044.1;
CCNA_01672	gene1764	CCNA_01672	GeneID:7331732	Gene	NA	transglutaminase-like enzyme;protein_id=YP_002517045.1;
CCNA_01673	gene1765	CCNA_01673	GeneID:7331733	Gene	NA	alphaE superfamily protein;protein_id=YP_002517046.1;
CCNA_01674	gene1766	CCNA_01674	GeneID:7331734	Gene	NA	circularly permuted ATP-grasp type 2 protein;protein_id=YP_002517047.4;
CCNA_01675	gene1767	CCNA_01675	GeneID:7331735	Gene	NA	outer membrane protein;protein_id=YP_002517048.1;
CCNA_01676	gene1768	CCNA_01676	GeneID:7331736	Gene	NA	hypothetical protein;protein_id=YP_002517049.2;
CCNA_01677	gene1769	CCNA_01677	GeneID:7331737	Gene	NA	carboxypeptidase G2 precursor;protein_id=YP_002517050.1;
CCNA_01678	gene1770	CCNA_01678	GeneID:7331738	Gene	NA	arginine N-succinyltransferase%2C beta chain;protein_id=YP_002517051.1;
CCNA_01679	gene1771	CCNA_01679	GeneID:7331739	Gene	NA	NA
CCNA_01680	gene1772	CCNA_01680	GeneID:7331740	Gene	NA	succinylarginine dihydrolase;protein_id=YP_002517053.1;
CCNA_01681	gene1773	CCNA_01681	GeneID:7331741	Gene	NA	NA
CCNA_01682	gene1774	CCNA_01682	GeneID:7331742	Gene	NA	NA
CCNA_01683	gene1775	CCNA_01683	GeneID:7331743	Gene	NA	NA
CCNA_01684	gene1776	CCNA_01684	GeneID:7331744	Gene	NA	NA
CCNA_01685	gene1777	CCNA_01685	GeneID:7331745	Gene	NA	hemimethylated DNA-binding protein yccV;protein_id=YP_002517058.1;
CCNA_01686	gene1778	CCNA_01686	GeneID:7331746	Gene	NA	NA
CCNA_01687	gene1779	CCNA_01687	GeneID:7331747	Gene	NA	FtsJ-family 23S rRNA methylase;protein_id=YP_002517060.1;
CCNA_01688	gene1780	CCNA_01688	GeneID:7331748	Gene	NA	potassium channel protein;protein_id=YP_002517061.1;
CCNA_01689	gene1781	CCNA_01689	GeneID:7331749	Gene	NA	NA
CCNA_01690	gene1782	CCNA_01690	GeneID:7331750	Gene	NA	NA
CCNA_01691	gene1783	CCNA_01691	GeneID:7331751	Gene	NA	NA
CCNA_01692	gene1784	CCNA_01692	GeneID:7331752	Gene	NA	GMP synthase GuaA;protein_id=YP_002517065.1;
CCNA_01693	gene1785	CCNA_01693	GeneID:7331753	Gene	NA	NA
CCNA_01694	gene1786	CCNA_01694	GeneID:7331754	Gene	NA	CocE/NonD family hydrolase;protein_id=YP_002517067.1;
CCNA_01695	gene1787	CCNA_01695	GeneID:7331755	Gene	NA	NA
CCNA_01696	gene1788	CCNA_01696	GeneID:7331756	Gene	NA	NA
CCNA_01697	gene1789	CCNA_01697	GeneID:7331757	Gene	NA	NA
CCNA_01698	gene1790	CCNA_01698	GeneID:7331758	Gene	NA	endo-1%2C3-1%2C4-beta glucanase-related protein;protein_id=YP_002517071.2;
CCNA_01699	gene1791	CCNA_01699	GeneID:7331759	Gene	NA	NA
CCNA_01700	gene1792	CCNA_01700	GeneID:7331760	Gene	NA	NA
CCNA_01701	gene1793	CCNA_01701	GeneID:7331761	Gene	NA	NA
CCNA_01702	gene1794	CCNA_01702	GeneID:7331762	Gene	NA	NAD-dependent oxidoreductase;protein_id=YP_002517075.1;
CCNA_01703	gene1795	CCNA_01703	GeneID:7331763	Gene	NA	IolE-related protein;protein_id=YP_002517076.1;
CCNA_01704	gene1796	CCNA_01704	GeneID:7331764	Gene	NA	cytochrome c;protein_id=YP_002517077.1;
CCNA_01705	gene1797	CCNA_01705	GeneID:7331765	Gene	NA	hypothetical protein;protein_id=YP_002517078.1;
CCNA_01706	gene1798	CCNA_01706	GeneID:7331766	Gene	NA	BetA-family choline dehydrogenase;protein_id=YP_002517079.1;
CCNA_01707	gene1799	CCNA_01707	GeneID:7331767	Gene	NA	gluconate 2-dehydrogenase subunit 3-family protein;protein_id=YP_002517080.1;
CCNA_01708	gene1800	CCNA_01708	GeneID:7331768	Gene	NA	hypothetical protein;protein_id=YP_002517081.1;
CCNA_01709	gene1801	CCNA_01709	GeneID:7331769	Gene	NA	hypothetical protein;protein_id=YP_002517082.1;
CCNA_01710	gene1802	CCNA_01710	GeneID:7331770	Gene	NA	BetA-family choline dehydrogenase;protein_id=YP_002517083.1;
CCNA_01711	gene1803	CCNA_01711	GeneID:7331771	Gene	NA	MecR antirepressor / ankyrin repeat family protein;protein_id=YP_002517084.1;
CCNA_01712	gene1804	CCNA_01712	GeneID:7331772	Gene	NA	CopY/TcrY family transcriptional repressor;protein_id=YP_002517085.1;
CCNA_01713	gene1805	CCNA_01713	GeneID:7331773	Gene	NA	NA
CCNA_01714	gene1807	CCNA_01714	GeneID:7331774	Gene	NA	Spx/MgsR-related protein;protein_id=YP_002517087.2;
CCNA_01715	gene1808	CCNA_01715	GeneID:7331775	Gene	NA	GPH-family phosphatase;protein_id=YP_002517088.2;
CCNA_01716	gene1809	CCNA_01716	GeneID:7331776	Gene	NA	hypothetical protein;protein_id=YP_002517089.1;
CCNA_01717	gene1810	CCNA_01717	GeneID:7331777	Gene	NA	NA
CCNA_01718	gene1811	CCNA_01718	GeneID:7331778	Gene	NA	NA
CCNA_01719	gene1812	CCNA_01719	GeneID:7331779	Gene	NA	hypothetical protein;protein_id=YP_002517092.1;
CCNA_01721	gene1814	CCNA_01721	GeneID:7331781	Gene	NA	RNA polymerase ECF sigma factor;protein_id=YP_002517094.1;
CCNA_01722	gene1815	CCNA_01722	GeneID:7331782	Gene	NA	hypothetical protein;protein_id=YP_002517095.3;
CCNA_01723	gene1816	CCNA_01723	GeneID:7331860	Gene	NA	NA
CCNA_01724	gene1817	CCNA_01724	GeneID:7331189	Gene	NA	hypothetical protein;protein_id=YP_002517097.1;
CCNA_01725	gene1818	bamB	GeneID:7331190	Gene	bamB	NA
CCNA_01726	gene1819	CCNA_01726	GeneID:7331191	Gene	NA	NA
CCNA_01727	gene1820	CCNA_01727	GeneID:7331192	Gene	NA	NA
CCNA_01728	gene1821	CCNA_01728	GeneID:7331193	Gene	NA	short chain dehydrogenase;protein_id=YP_002517101.1;
CCNA_01729	gene1822	CCNA_01729	GeneID:7331194	Gene	NA	NA
CCNA_01730	gene1823	CCNA_01730	GeneID:7331195	Gene	NA	NA
CCNA_01731	gene1824	CCNA_01731	GeneID:7331196	Gene	NA	NA
CCNA_01732	gene1825	CCNA_01732	GeneID:7331197	Gene	NA	DNA repair protein RadA;protein_id=YP_002517105.1;
